

Started: 2016-07-28 19:22:13.664340.
Data OK.
Network OK.
287974 parameters
Functions OK.
Training...
Epoch     TL                  TA                  VL                  VA                  Time                
1         2.38478676081       0.11796             2.29582413435       0.2299              2.93240499496       
2         2.25964005947       0.16468             2.26574184895       0.3827              2.93740391731       
3         2.12830412388       0.24024             2.13960027695       0.5935              2.93610978127       
4         1.87602879047       0.34006             1.91860861778       0.7447              2.93663907051       
5         1.59399326444       0.44676             1.70691007972       0.8095              2.93314504623       
6         1.38095535994       0.52472             1.55778656602       0.8374              2.93636012077       
7         1.23065477014       0.57678             1.43305948377       0.8537              2.93884992599       
8         1.13400606871       0.61252             1.35433457494       0.8686              2.9380979538        
9         1.05623211801       0.64276             1.27608598471       0.8802              2.93869018555       
10        0.98870536387       0.66618             1.21132059097       0.8911              2.93559908867       
11        0.931593320966      0.6905              1.16028312445       0.8971              2.93590688705       
12        0.889044251442      0.70102             1.11560673714       0.9019              2.93695807457       
13        0.842118254304      0.71958             1.07022721767       0.9059              2.93907308578       
14        0.806748430729      0.73194             1.04117861986       0.912               2.97012782097       
15        0.786984908581      0.73634             1.00976994634       0.9143              2.97178578377       
16        0.750994931459      0.74936             0.975652039051      0.9174              2.96880483627       
17        0.726948938966      0.75994             0.960667705536      0.9195              2.97551012039       
18        0.705470641255      0.76604             0.928083342314      0.9219              2.97459292412       
19        0.689190807939      0.77248             0.91870110333       0.9255              2.97169804573       
20        0.66514464736       0.78164             0.890016016364      0.9265              2.96963691711       
21        0.652998037338      0.78576             0.874961653352      0.9283              2.97069907188       
22        0.638372402787      0.79184             0.869029000401      0.9307              2.97271609306       
23        0.624236088395      0.7945              0.844491308928      0.9324              2.97172904015       
24        0.615894957781      0.79698             0.836463615298      0.9333              2.97184085846       
25        0.593475711346      0.80448             0.819601914287      0.9356              2.96972990036       
26        0.586031289995      0.80832             0.811131188273      0.9368              2.97168803215       
27        0.584397815168      0.80958             0.818871590495      0.9382              2.97190403938       
28        0.575592338145      0.81308             0.804289096594      0.9395              2.97352695465       
29        0.550202789903      0.82038             0.781306684017      0.9401              2.97343707085       
30        0.546300399899      0.82306             0.769577622414      0.9407              2.97159099579       
31        0.538865285516      0.8253              0.75635368526       0.9416              2.96698904037       
32        0.528782751262      0.82876             0.772288498282      0.9439              2.96104502678       
33        0.527511795759      0.82976             0.759339725971      0.944               2.9605948925        
34        0.515372274816      0.83396             0.741215863824      0.9444              2.96197199821       
35        0.512432736754      0.83538             0.748392021656      0.9453              2.96257591248       
36        0.505035842061      0.83678             0.744812995195      0.9462              2.97355389595       
37        0.503846288323      0.83874             0.742210480571      0.9452              2.96787905693       
38        0.489275833964      0.8408              0.726823994517      0.9457              2.97242498398       
39        0.483484640121      0.84466             0.727712133527      0.9468              2.97059202194       
40        0.483947507143      0.84398             0.721237012744      0.9468              2.96372389793       
41        0.47850967437       0.84704             0.718843743205      0.948               2.96253299713       
42        0.468209184706      0.84878             0.693733134866      0.9488              2.96977591515       
43        0.466607141495      0.8492              0.700523549318      0.9487              2.96836590767       
44        0.460235837698      0.85114             0.691405445337      0.9484              2.96661400795       
45        0.454214992523      0.85354             0.694065761566      0.9496              2.97001600266       
46        0.455598552823      0.85386             0.696066522598      0.9496              2.96613502502       
47        0.451436831057      0.85398             0.696739551425      0.9497              2.97278523445       
